time,equity,funding_pct,coll_pct,note,book
2026-06-27 06:00 UTC,1001.83,0.0095,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-06-28 06:00 UTC,1002.06,0.0112,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-06-29 06:00 UTC,1002.25,0.0068,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-06-30 06:00 UTC,1002.6,0.0224,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-07-01 06:00 UTC,1002.96,0.0234,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-07-02 06:00 UTC,1003.3,0.0216,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-07-03 06:00 UTC,1003.71,0.0285,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-07-04 06:00 UTC,1004.14,0.0307,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-07-05 06:00 UTC,1004.56,0.0292,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-07-06 06:00 UTC,1004.98,0.03,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-07-06 16:41 UTC,1005.17,0.0127,0.0055,accrued 0.45d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-07-07 06:00 UTC,1005.46,0.0221,0.0068,accrued 0.55d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-07-08 06:00 UTC,1005.88,0.0298,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-07-09 06:00 UTC,1006.28,0.027,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-07-10 06:00 UTC,1006.7,0.0292,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-07-11 06:00 UTC,1007.12,0.0298,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-07-12 06:00 UTC,1007.54,0.0294,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
2026-07-13 06:00 UTC,1007.95,0.0281,0.0123,accrued 1.00d,NEAR@hyperliquid; LINK@hyperliquid; LTC@hyperliquid; ETH@hyperliquid; BTC@hyperliquid; BNB@hyperliquid
